Date : 2021-10-17 16:01:48
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/sap
Total : 117 files,  5681 codes, 1437 comments, 837 blanks, all 7955 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         79 |      4,384 |      1,343 |        675 |      6,402 |
| Markdown   |          8 |        654 |          0 |        104 |        758 |
| XML        |         16 |        254 |         37 |          8 |        299 |
| JSON       |          4 |        243 |          0 |          3 |        246 |
| Groovy     |          3 |         85 |          3 |         20 |        108 |
| YAML       |          3 |         40 |         53 |         22 |        115 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                          |        117 |      5,681 |      1,437 |        837 |      7,955 |
| .github                                                                                                                                    |          1 |         30 |          0 |          9 |         39 |
| .github/ISSUE_TEMPLATE                                                                                                                     |          1 |         30 |          0 |          9 |         39 |
| .vscodecounter                                                                                                                             |          4 |        404 |          0 |         26 |        430 |
| .vscodecounter/2021-10-16_22-39-55                                                                                                         |          2 |        198 |          0 |         13 |        211 |
| .vscodecounter/2021-10-16_23-22-06                                                                                                         |          2 |        206 |          0 |         13 |        219 |
| android                                                                                                                                    |         15 |        202 |         39 |         25 |        266 |
| android/app                                                                                                                                |         11 |        159 |         38 |         14 |        211 |
| android/app/src                                                                                                                            |          9 |         63 |         35 |          3 |        101 |
| android/app/src/debug                                                                                                                      |          1 |          3 |          3 |          1 |          7 |
| android/app/src/main                                                                                                                       |          7 |         57 |         29 |          1 |         87 |
| android/app/src/main/res                                                                                                                   |          6 |         44 |         18 |          0 |         62 |
| android/app/src/main/res/drawable                                                                                                          |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night                                                                                                    |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-night-v21                                                                                                |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/drawable-v21                                                                                                      |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/values                                                                                                            |          1 |         10 |          9 |          0 |         19 |
| android/app/src/main/res/values-night                                                                                                      |          1 |         10 |          9 |          0 |         19 |
| android/app/src/profile                                                                                                                    |          1 |          3 |          3 |          1 |          7 |
| android/gradle                                                                                                                             |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                     |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                        |         13 |        404 |          2 |         13 |        419 |
| ios/Flutter                                                                                                                                |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                                                 |         10 |        362 |          2 |         10 |        374 |
| ios/Runner.xcodeproj                                                                                                                       |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                                                   |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                                      |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                                                     |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace/xcshareddata                                                                                                        |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                                                 |          4 |        200 |          0 |          5 |        205 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                              |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchBackground.imageset                                                                                       |          1 |         52 |          0 |          1 |         53 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                            |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                      |          2 |         68 |          2 |          1 |         71 |
| lib                                                                                                                                        |         78 |      4,370 |      1,333 |        668 |      6,371 |
| lib/src                                                                                                                                    |         77 |      4,319 |      1,315 |        658 |      6,292 |
| lib/src/config                                                                                                                             |          3 |         90 |         54 |         15 |        159 |
| lib/src/models                                                                                                                             |          4 |        637 |         68 |         77 |        782 |
| lib/src/providers                                                                                                                          |         10 |         69 |        170 |         35 |        274 |
| lib/src/repositories                                                                                                                       |          2 |        247 |         40 |         62 |        349 |
| lib/src/services                                                                                                                           |          1 |        213 |         21 |         63 |        297 |
| lib/src/ui                                                                                                                                 |         57 |      3,063 |        962 |        406 |      4,431 |
| lib/src/ui/components                                                                                                                      |         11 |        841 |        187 |         89 |      1,117 |
| lib/src/ui/mini_player                                                                                                                     |          2 |        230 |         38 |         19 |        287 |
| lib/src/ui/views                                                                                                                           |         44 |      1,992 |        737 |        298 |      3,027 |
| lib/src/ui/views/album_view                                                                                                                |          2 |        106 |         34 |         18 |        158 |
| lib/src/ui/views/album_view/components                                                                                                     |          1 |         38 |         17 |          5 |         60 |
| lib/src/ui/views/artist_view                                                                                                               |          8 |        385 |        136 |         51 |        572 |
| lib/src/ui/views/artist_view/components                                                                                                    |          5 |        177 |         85 |         24 |        286 |
| lib/src/ui/views/browse_view                                                                                                               |          5 |        198 |         89 |         26 |        313 |
| lib/src/ui/views/browse_view/components                                                                                                    |          4 |        141 |         68 |         16 |        225 |
| lib/src/ui/views/library_views                                                                                                             |         12 |        558 |        204 |         87 |        849 |
| lib/src/ui/views/library_views/components                                                                                                  |          8 |        288 |        136 |         40 |        464 |
| lib/src/ui/views/playlist_view                                                                                                             |          3 |        119 |         51 |         23 |        193 |
| lib/src/ui/views/playlist_view/components                                                                                                  |          2 |         56 |         34 |          9 |         99 |
| lib/src/ui/views/search_views                                                                                                              |         13 |        495 |        204 |         78 |        777 |
| lib/src/ui/views/search_views/components                                                                                                   |          9 |        206 |        136 |         38 |        380 |
| test                                                                                                                                       |          1 |         14 |         10 |          7 |         31 |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                   | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/.github/ISSUE_TEMPLATE/bug_report.md                                            | Markdown   |         30 |          0 |          9 |         39 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/.vscodecounter/2021-10-16_22-39-55/details.md                                   | Markdown   |        124 |          0 |          6 |        130 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/.vscodecounter/2021-10-16_22-39-55/results.md                                   | Markdown   |         74 |          0 |          7 |         81 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/.vscodecounter/2021-10-16_23-22-06/details.md                                   | Markdown   |        128 |          0 |          6 |        134 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/.vscodecounter/2021-10-16_23-22-06/results.md                                   | Markdown   |         78 |          0 |          7 |         85 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/CODE_OF_CONDUCT.md                                                              | Markdown   |         93 |          0 |         36 |        129 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/README.md                                                                       | Markdown   |        124 |          0 |         31 |        155 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/build.gradle                                                        | Groovy     |         50 |          3 |         11 |         64 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/google-services.json                                                | JSON       |         46 |          0 |          0 |         46 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/debug/AndroidManifest.xml                                       | XML        |          3 |          3 |          1 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/AndroidManifest.xml                                        | XML        |         13 |         11 |          1 |         25 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable-night-v21/launch_background.xml               | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable-night/launch_background.xml                   | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable-v21/launch_background.xml                     | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/drawable/launch_background.xml                         | XML        |          6 |          0 |          0 |          6 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/values-night/styles.xml                                | XML        |         10 |          9 |          0 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/main/res/values/styles.xml                                      | XML        |         10 |          9 |          0 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/app/src/profile/AndroidManifest.xml                                     | XML        |          3 |          3 |          1 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/build.gradle                                                            | Groovy     |         27 |          0 |          5 |         32 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/gradle.properties                                                       | Properties |          3 |          0 |          1 |          4 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/gradle/wrapper/gradle-wrapper.properties                                | Properties |          5 |          1 |          1 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/android/settings.gradle                                                         | Groovy     |          8 |          0 |          4 |         12 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/flutter_launcher_icons.yaml                                                     | YAML       |          4 |          0 |          1 |          5 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/flutter_native_splash.yaml                                                      | YAML       |          3 |          0 |          1 |          4 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Flutter/AppFrameworkInfo.plist                                              | XML        |         26 |          0 |          1 |         27 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist  | XML        |          8 |          0 |          1 |          9 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                    | XML        |          8 |          0 |          1 |          9 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/sap/ios/Runner/AppDelegate.swift                                                    | Swift      |         12 |          0 |          2 |         14 |
